Method,Num Images,Workers,Execution Time (s),,,,,,,,,,,,,,,
Parallel,500,1,6.692131996,,,,,,,,,,,,,,,
Parallel,500,2,3.647711515,,,,,,,,,,,,,,,
Parallel,500,4,2.106725454,,,,,,,,,,,,,,,
Parallel,500,8,1.591277361,,,,,,,,,,,,,,,
Sequential,500,,8.131065607,,,,,,,,,,,,,,,
Parallel,1000,1,14.62001991,,,,,,,,,,,,,,,
Parallel,1000,2,7.970095158,,,,,,,,,,,,,,,
Parallel,1000,4,5.452396393,,,,,,,,,,,,,,,
Parallel,1000,8,4.904972792,,,,,,,,,,,,,,,
Sequential,1000,,12.80722833,,,,,,,Num Images,Parallel,,Num Images,Sequential,,,,
Parallel,5000,1,66.20089293,,,,,,,500,1.59,,500,,,5.109772694,,
Parallel,5000,2,37.95170689,,,,,,,1000,4.90,,1000,,,2.611070208,,
Parallel,5000,4,21.87296367,,,,,,,5000,16.64,,5000,,,3.884854379,,
Parallel,5000,8,16.63930321,,,,,,,10000,32.99,,10000,,,3.884674726,,
Sequential,5000,,64.64126992,,,,,,,,,,,,,,,
Parallel,10000,1,130.559567,,,,,,,,,,,,,,,
Parallel,10000,2,71.2738595,,,,,,,,,,,,,,,
Parallel,10000,4,40.50179386,,,,,,,,,,,,,,,
Parallel,10000,8,32.98575473,,,,,,,,,,,,,,,
Sequential,10000,,128.1389277,,,,,,,500,,,,Sequential,Workers=1,Workers=2,Workers=4,Workers=8
,,,,,,,,,,Workers,Num Images=500,,500,8.13,6.69,3.65,2.11,1.59
,,,,,,,,,,1,6.69,,1000,12.81,14.62,7.97,5.45,4.90
,,,,,,,,,,2,3.65,,5000,64.64,66.20,37.95,21.87,16.64
,,,,,,,,,,4,2.11,,10000,128.14,130.56,71.27,40.50,32.99
,,,,,,,,,,8,1.59,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,1000,,,,,,,,
,,,,,,,,,,Workers,Num Images=1000,,,,,,,
,,,,,,,,,,1,14.62,,,,,,,
,,,,,,,,,,2,7.97,,,,,,,
,,,,,,,,,,4,5.45,,,,,,,
,,,,,,,,,,8,4.90,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,5000,,,,,,,,
,,,,,,,,,,Workers,Num Images=5000,,,,,,,
,,,,,,,,,,1,66.20,,,,,,,
,,,,,,,,,,2,37.95,,,,,,,
,,,,,,,,,,4,21.87,,,,,,,
,,,,,,,,,,8,16.64,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,10000,,,,,,,,
,,,,,,,,,,Workers,Num Images=10000,,,,,,,
,,,,,,,,,,1,130.56,,,,,,,
,,,,,,,,,,2,71.27,,,,,,,
,,,,,,,,,,4,40.50,,,,,,,
,,,,,,,,,,8,32.99,,,,,,,
