2015,2016,2017,2018,2019,2020
Nagano,Yamanashi,Nagano,Nagano,Nagano,Shizuoka
Yamanashi,Nagano,Yamanashi,Shizuoka,Hiroshima,Yamanashi
Shimane,Shizuoka,Shizuoka,Hokkaido,Shizuoka,Nagano
Shizuoka,Hiroshima,Hiroshima,Yamanashi,Hokkaido,Fukuoka
Okayama,Fukuoka,Niigata,Niigata,Yamanashi,Miyagi
Hiroshima,Okayama,Fukuoka,Hiroshima,Fukuoka,Hiroshima
Kochi,Oita,Okayama,Fukuoka,Niigata,Hokkaido
Akita,Niigata,Fukushima,Toyama,Saga,Wakayama
Oita,Nagasaki,Miyazaki,Miyazaki,Kochi,Kanagawa
Miyazaki,Miyazaki,Toyama,Fukushima,Ehime,Gunma
